02-24 00:07:50: Training starting...
02-24 00:07:50: New best reward -6.9 (-100.0%) at episode 0, saving model...
02-24 00:07:50: New best reward -6.3 (-8.7%) at episode 4, saving model...
02-24 00:07:50: New best reward -5.1 (-19.0%) at episode 13, saving model...
02-24 00:07:51: New best reward -4.5 (-11.8%) at episode 46, saving model...
02-24 00:07:51: New best reward -3.9 (-13.3%) at episode 270, saving model...
02-24 00:07:52: New best reward -3.3 (-15.4%) at episode 314, saving model...
02-24 00:07:52: New best reward -2.7 (-18.2%) at episode 424, saving model...
02-24 00:08:01: New best reward -1.5 (-44.4%) at episode 1468, saving model...
02-24 00:08:07: New best reward -0.3 (-80.0%) at episode 1867, saving model...
02-24 00:08:11: New best reward 0.9 (-400.0%) at episode 2064, saving model...
02-24 00:08:14: New best reward 2.1 (+133.3%) at episode 2386, saving model...
02-24 00:08:16: New best reward 3.3 (+57.1%) at episode 2796, saving model...
02-24 00:08:22: New best reward 3.9 (+18.2%) at episode 3148, saving model...
02-24 00:08:43: New best reward 41.5 (+0.7%) at episode 136567, saving model...
02-24 00:09:21: New best reward 4.1 (+5.1%) at episode 7540, saving model...
02-24 00:09:31: New best reward 4.4 (+7.3%) at episode 7889, saving model...
02-24 00:09:35: New best reward 6.0 (+36.4%) at episode 8131, saving model...
02-24 00:10:28: New best reward 46.8 (+12.8%) at episode 149431, saving model...
02-24 00:10:44: New best reward 6.2 (+3.3%) at episode 16396, saving model...
02-24 00:10:48: New best reward 8.4 (+35.5%) at episode 16967, saving model...
02-24 00:11:43: New best reward 9.0 (+7.1%) at episode 25126, saving model...
02-24 00:11:57: New best reward 10.9 (+21.1%) at episode 27489, saving model...
02-24 00:12:07: New best reward 12.9 (+18.3%) at episode 29240, saving model...
02-24 00:13:38: New best reward 15.3 (+18.6%) at episode 39650, saving model...
02-24 00:13:57: New best reward 18.7 (+22.2%) at episode 41415, saving model...
02-24 00:15:36: New best reward 20.1 (+7.5%) at episode 52417, saving model...
02-24 00:16:12: New best reward 20.3 (+1.0%) at episode 56630, saving model...
02-24 00:16:30: New best reward 20.7 (+2.0%) at episode 58757, saving model...
02-24 00:16:48: New best reward 22.8 (+10.1%) at episode 61351, saving model...
02-24 00:17:18: New best reward 23.6 (+3.5%) at episode 65305, saving model...
02-24 00:17:18: New best reward 29.2 (+23.7%) at episode 65313, saving model...
02-24 00:17:23: New best reward 31.9 (+9.2%) at episode 65885, saving model...
02-24 00:18:28: New best reward 39.3 (+23.2%) at episode 74896, saving model...
02-24 00:22:43: New best reward 40.9 (+4.1%) at episode 108507, saving model...
02-24 00:24:24: New best reward 51.3 (+25.4%) at episode 121777, saving model...
02-24 00:32:31: New best reward 54.9 (+7.0%) at episode 184335, saving model...
02-24 00:36:48: New best reward 69.0 (+25.7%) at episode 216701, saving model...
02-24 01:00:36: New best reward 87.9 (+27.4%) at episode 391178, saving model...
02-24 03:49:36: New best reward 99.6 (+13.3%) at episode 1425510, saving model...
